
Train Loss: 0.167,                 Valid Loss: 0.271345,                 Accuracy: 0.92
Train Loss: 0.158,                 Valid Loss: 0.218027,                 Accuracy: 0.94
Train Loss: 0.215,                 Valid Loss: 0.187498,                 Accuracy: 0.95
Train Loss: 0.078,                 Valid Loss: 0.176529,                 Accuracy: 0.95
Train Loss: 0.147,                 Valid Loss: 0.155718,                 Accuracy: 0.95
Train Loss: 0.060,                 Valid Loss: 0.160321,                 Accuracy: 0.95
Train Loss: 0.128,                 Valid Loss: 0.153100,                 Accuracy: 0.95
Train Loss: 0.069,                 Valid Loss: 0.160824,                 Accuracy: 0.95
Train Loss: 0.037,                 Valid Loss: 0.148225,                 Accuracy: 0.96
Train Loss: 0.065,                 Valid Loss: 0.148782,                 Accuracy: 0.95
Train Loss: 0.038,                 Valid Loss: 0.141611,                 Accuracy: 0.95
Train Loss: 0.030,                 Valid Loss: 0.148182,                 Accuracy: 0.95
Train Loss: 0.017,                 Valid Loss: 0.148256,                 Accuracy: 0.95
Train Loss: 0.024,                 Valid Loss: 0.143814,                 Accuracy: 0.96
Train Loss: 0.077,                 Valid Loss: 0.155172,                 Accuracy: 0.96
