
Train Loss: 0.483,                 Valid Loss: 0.353998,                 Accuracy: 0.90
Train Loss: 0.311,                 Valid Loss: 0.278145,                 Accuracy: 0.92
Train Loss: 0.378,                 Valid Loss: 0.249062,                 Accuracy: 0.93
Train Loss: 0.211,                 Valid Loss: 0.229760,                 Accuracy: 0.93
Train Loss: 0.200,                 Valid Loss: 0.216599,                 Accuracy: 0.93
Train Loss: 0.167,                 Valid Loss: 0.203575,                 Accuracy: 0.94
Train Loss: 0.223,                 Valid Loss: 0.198926,                 Accuracy: 0.94
Train Loss: 0.157,                 Valid Loss: 0.187531,                 Accuracy: 0.94
Train Loss: 0.104,                 Valid Loss: 0.180766,                 Accuracy: 0.94
Train Loss: 0.134,                 Valid Loss: 0.173072,                 Accuracy: 0.95
Train Loss: 0.118,                 Valid Loss: 0.168099,                 Accuracy: 0.95
Train Loss: 0.137,                 Valid Loss: 0.169647,                 Accuracy: 0.95
Train Loss: 0.174,                 Valid Loss: 0.165784,                 Accuracy: 0.95
Train Loss: 0.146,                 Valid Loss: 0.170093,                 Accuracy: 0.94
Train Loss: 0.093,                 Valid Loss: 0.165757,                 Accuracy: 0.95
