
Train Loss: 0.341,                 Valid Loss: 0.289978,                 Accuracy: 0.92
Train Loss: 0.202,                 Valid Loss: 0.232343,                 Accuracy: 0.94
Train Loss: 0.159,                 Valid Loss: 0.210009,                 Accuracy: 0.94
Train Loss: 0.142,                 Valid Loss: 0.194307,                 Accuracy: 0.94
Train Loss: 0.205,                 Valid Loss: 0.179934,                 Accuracy: 0.95
Train Loss: 0.115,                 Valid Loss: 0.171907,                 Accuracy: 0.95
Train Loss: 0.086,                 Valid Loss: 0.156799,                 Accuracy: 0.95
Train Loss: 0.080,                 Valid Loss: 0.155939,                 Accuracy: 0.95
Train Loss: 0.095,                 Valid Loss: 0.154242,                 Accuracy: 0.95
Train Loss: 0.098,                 Valid Loss: 0.156732,                 Accuracy: 0.95
