
Train Loss: 0.309,                 Valid Loss: 0.287398,                 Accuracy: 0.92
Train Loss: 0.173,                 Valid Loss: 0.230605,                 Accuracy: 0.93
Train Loss: 0.268,                 Valid Loss: 0.201774,                 Accuracy: 0.94
Train Loss: 0.151,                 Valid Loss: 0.186987,                 Accuracy: 0.94
Train Loss: 0.131,                 Valid Loss: 0.178291,                 Accuracy: 0.94
Train Loss: 0.115,                 Valid Loss: 0.175370,                 Accuracy: 0.94
Train Loss: 0.243,                 Valid Loss: 0.161636,                 Accuracy: 0.94
Train Loss: 0.074,                 Valid Loss: 0.162406,                 Accuracy: 0.95
Train Loss: 0.069,                 Valid Loss: 0.152521,                 Accuracy: 0.95
Train Loss: 0.093,                 Valid Loss: 0.156160,                 Accuracy: 0.95
