
Train Loss: 0.232,                 Valid Loss: 0.214960,                 Accuracy: 0.93
Train Loss: 0.156,                 Valid Loss: 0.192160,                 Accuracy: 0.94
Train Loss: 0.158,                 Valid Loss: 0.155472,                 Accuracy: 0.95
Train Loss: 0.242,                 Valid Loss: 0.184841,                 Accuracy: 0.95
Train Loss: 0.028,                 Valid Loss: 0.184029,                 Accuracy: 0.95
Train Loss: 0.049,                 Valid Loss: 0.175495,                 Accuracy: 0.95
Train Loss: 0.020,                 Valid Loss: 0.174587,                 Accuracy: 0.95
Train Loss: 0.025,                 Valid Loss: 0.165670,                 Accuracy: 0.96
Train Loss: 0.007,                 Valid Loss: 0.168589,                 Accuracy: 0.96
Train Loss: 0.008,                 Valid Loss: 0.164867,                 Accuracy: 0.96
