
Train Loss: 0.144,                 Valid Loss: 0.239122,                 Accuracy: 0.93
Train Loss: 0.167,                 Valid Loss: 0.187479,                 Accuracy: 0.95
Train Loss: 0.150,                 Valid Loss: 0.157458,                 Accuracy: 0.95
Train Loss: 0.074,                 Valid Loss: 0.171761,                 Accuracy: 0.94
Train Loss: 0.046,                 Valid Loss: 0.153885,                 Accuracy: 0.95
Train Loss: 0.013,                 Valid Loss: 0.165551,                 Accuracy: 0.96
Train Loss: 0.023,                 Valid Loss: 0.210709,                 Accuracy: 0.95
Train Loss: 0.022,                 Valid Loss: 0.166867,                 Accuracy: 0.96
Train Loss: 0.024,                 Valid Loss: 0.197494,                 Accuracy: 0.95
Train Loss: 0.009,                 Valid Loss: 0.169237,                 Accuracy: 0.96
