
Train Loss: 0.392,                 Valid Loss: 0.286615,                 Accuracy: 0.92
Train Loss: 0.394,                 Valid Loss: 0.236333,                 Accuracy: 0.93
Train Loss: 0.202,                 Valid Loss: 0.202447,                 Accuracy: 0.94
Train Loss: 0.119,                 Valid Loss: 0.192905,                 Accuracy: 0.94
Train Loss: 0.078,                 Valid Loss: 0.176723,                 Accuracy: 0.95
Train Loss: 0.107,                 Valid Loss: 0.168780,                 Accuracy: 0.95
Train Loss: 0.095,                 Valid Loss: 0.155828,                 Accuracy: 0.95
Train Loss: 0.046,                 Valid Loss: 0.146999,                 Accuracy: 0.95
Train Loss: 0.072,                 Valid Loss: 0.157459,                 Accuracy: 0.95
Train Loss: 0.136,                 Valid Loss: 0.153126,                 Accuracy: 0.95
