
Train Loss: 0.253,                 Valid Loss: 0.239806,                 Accuracy: 0.93
Train Loss: 0.226,                 Valid Loss: 0.215968,                 Accuracy: 0.94
Train Loss: 0.203,                 Valid Loss: 0.181535,                 Accuracy: 0.94
Train Loss: 0.197,                 Valid Loss: 0.173755,                 Accuracy: 0.94
Train Loss: 0.188,                 Valid Loss: 0.158368,                 Accuracy: 0.95
Train Loss: 0.169,                 Valid Loss: 0.162159,                 Accuracy: 0.96
Train Loss: 0.106,                 Valid Loss: 0.164227,                 Accuracy: 0.95
Train Loss: 0.081,                 Valid Loss: 0.169834,                 Accuracy: 0.95
Train Loss: 0.121,                 Valid Loss: 0.170484,                 Accuracy: 0.95
Train Loss: 0.047,                 Valid Loss: 0.143601,                 Accuracy: 0.96
