
Train Loss: 0.547,                 Valid Loss: 0.365695,                 Accuracy: 0.90
Train Loss: 0.454,                 Valid Loss: 0.289305,                 Accuracy: 0.91
Train Loss: 0.293,                 Valid Loss: 0.256790,                 Accuracy: 0.92
Train Loss: 0.306,                 Valid Loss: 0.239655,                 Accuracy: 0.93
Train Loss: 0.448,                 Valid Loss: 0.227861,                 Accuracy: 0.93
Train Loss: 0.378,                 Valid Loss: 0.221079,                 Accuracy: 0.94
Train Loss: 0.311,                 Valid Loss: 0.212462,                 Accuracy: 0.94
Train Loss: 0.163,                 Valid Loss: 0.211990,                 Accuracy: 0.94
Train Loss: 0.203,                 Valid Loss: 0.202535,                 Accuracy: 0.94
Train Loss: 0.166,                 Valid Loss: 0.197341,                 Accuracy: 0.94
