
Train Loss: 0.334,                 Valid Loss: 0.314221,                 Accuracy: 0.91
Train Loss: 0.171,                 Valid Loss: 0.245244,                 Accuracy: 0.93
Train Loss: 0.182,                 Valid Loss: 0.220881,                 Accuracy: 0.93
Train Loss: 0.173,                 Valid Loss: 0.194119,                 Accuracy: 0.94
Train Loss: 0.088,                 Valid Loss: 0.185828,                 Accuracy: 0.94
Train Loss: 0.134,                 Valid Loss: 0.173328,                 Accuracy: 0.94
Train Loss: 0.104,                 Valid Loss: 0.169257,                 Accuracy: 0.95
Train Loss: 0.092,                 Valid Loss: 0.166019,                 Accuracy: 0.95
Train Loss: 0.034,                 Valid Loss: 0.155996,                 Accuracy: 0.95
Train Loss: 0.101,                 Valid Loss: 0.157162,                 Accuracy: 0.95
Train Loss: 0.033,                 Valid Loss: 0.153150,                 Accuracy: 0.95
Train Loss: 0.052,                 Valid Loss: 0.159060,                 Accuracy: 0.95
Train Loss: 0.031,                 Valid Loss: 0.156248,                 Accuracy: 0.95
Train Loss: 0.016,                 Valid Loss: 0.159096,                 Accuracy: 0.95
Train Loss: 0.016,                 Valid Loss: 0.161807,                 Accuracy: 0.95
