
Train Loss: 0.486,                 Valid Loss: 0.277500,                 Accuracy: 0.92
Train Loss: 0.261,                 Valid Loss: 0.230583,                 Accuracy: 0.93
Train Loss: 0.306,                 Valid Loss: 0.200589,                 Accuracy: 0.93
Train Loss: 0.440,                 Valid Loss: 0.196280,                 Accuracy: 0.94
Train Loss: 0.345,                 Valid Loss: 0.183759,                 Accuracy: 0.94
Train Loss: 0.229,                 Valid Loss: 0.181470,                 Accuracy: 0.95
Train Loss: 0.199,                 Valid Loss: 0.167908,                 Accuracy: 0.95
Train Loss: 0.138,                 Valid Loss: 0.166365,                 Accuracy: 0.95
Train Loss: 0.221,                 Valid Loss: 0.154889,                 Accuracy: 0.95
Train Loss: 0.164,                 Valid Loss: 0.161735,                 Accuracy: 0.95
