
Train Loss: 0.430,                 Valid Loss: 0.270401,                 Accuracy: 0.91
Train Loss: 0.059,                 Valid Loss: 0.185623,                 Accuracy: 0.94
Train Loss: 0.119,                 Valid Loss: 0.173692,                 Accuracy: 0.94
Train Loss: 0.030,                 Valid Loss: 0.164552,                 Accuracy: 0.95
Train Loss: 0.012,                 Valid Loss: 0.179735,                 Accuracy: 0.95
Train Loss: 0.017,                 Valid Loss: 0.139418,                 Accuracy: 0.96
Train Loss: 0.019,                 Valid Loss: 0.163070,                 Accuracy: 0.96
Train Loss: 0.018,                 Valid Loss: 0.173471,                 Accuracy: 0.96
Train Loss: 0.117,                 Valid Loss: 0.176935,                 Accuracy: 0.96
Train Loss: 0.006,                 Valid Loss: 0.175082,                 Accuracy: 0.96
Train Loss: 0.004,                 Valid Loss: 0.152902,                 Accuracy: 0.96
Train Loss: 0.002,                 Valid Loss: 0.176046,                 Accuracy: 0.96
Train Loss: 0.016,                 Valid Loss: 0.188893,                 Accuracy: 0.96
Train Loss: 0.008,                 Valid Loss: 0.228471,                 Accuracy: 0.95
Train Loss: 0.039,                 Valid Loss: 0.210507,                 Accuracy: 0.96
